epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5622,1.47185,1.98382,0.89114,0.87777,0.34831,0.39456,0.22319,1.14414,0.9183,0.83567,0.000473772,0.000473772,0.000473772
2,135.146,1.21112,1.11565,0.8446,0.88325,0.37193,0.47767,0.2834,1.03908,0.66203,0.82885,0.000931294,0.000931294,0.000931294
3,200.408,1.17122,0.92624,0.83786,0.76077,0.46184,0.53496,0.32238,0.97238,0.64644,0.82383,0.00136995,0.00136995,0.00136995
4,263.737,1.16186,0.81161,0.83732,0.75594,0.54914,0.59594,0.35117,0.9559,0.60315,0.82453,0.00134412,0.00134412,0.00134412
5,329.385,1.08765,0.69366,0.82773,0.79383,0.49796,0.59468,0.35441,0.95366,0.56121,0.82106,0.00131582,0.00131582,0.00131582
6,392.62,1.07797,0.64451,0.82752,0.84763,0.58252,0.66387,0.40385,0.91855,0.54438,0.82012,0.00128753,0.00128753,0.00128753
7,457.128,1.05654,0.6201,0.82532,0.78454,0.56048,0.64135,0.38645,0.93104,0.53944,0.82112,0.00125923,0.00125923,0.00125923
8,520.088,1.03122,0.58299,0.82132,0.85134,0.59937,0.67056,0.39448,0.90526,0.5284,0.82015,0.00123094,0.00123094,0.00123094
9,584.599,1.02022,0.56444,0.81704,0.88134,0.59182,0.68811,0.41363,0.90365,0.51022,0.81471,0.00120265,0.00120265,0.00120265
10,649.388,1.0114,0.53824,0.8207,0.82947,0.61383,0.6755,0.40274,0.90483,0.49959,0.8169,0.00117435,0.00117435,0.00117435
11,713.683,0.99823,0.52409,0.81888,0.82076,0.60819,0.69242,0.43813,0.86933,0.46872,0.81504,0.00114606,0.00114606,0.00114606
12,775.707,0.98069,0.51391,0.81614,0.84179,0.60498,0.6876,0.4248,0.86452,0.47468,0.81339,0.00111776,0.00111776,0.00111776
13,838.795,0.96628,0.49825,0.81415,0.8741,0.62539,0.7098,0.43793,0.83752,0.46026,0.81078,0.00108947,0.00108947,0.00108947
14,905.886,0.96007,0.48925,0.81361,0.8383,0.6208,0.71087,0.45029,0.82698,0.44527,0.81084,0.00106118,0.00106118,0.00106118
15,972.012,0.96234,0.48177,0.81507,0.87716,0.61161,0.7115,0.44301,0.84215,0.44341,0.81125,0.00103288,0.00103288,0.00103288
16,1037.51,0.9649,0.48812,0.81626,0.88709,0.62674,0.73099,0.44671,0.89197,0.46228,0.81647,0.00100459,0.00100459,0.00100459
17,1103.41,0.95593,0.47265,0.81457,0.86766,0.60997,0.71002,0.44688,0.86582,0.45358,0.81352,0.000976293,0.000976293,0.000976293
18,1166.2,0.94732,0.46669,0.81176,0.88095,0.63486,0.73762,0.45115,0.88014,0.44378,0.81386,0.000947999,0.000947999,0.000947999
19,1233.04,0.93239,0.46216,0.8114,0.8799,0.65096,0.74143,0.46147,0.82239,0.44707,0.80824,0.000919704,0.000919704,0.000919704
20,1296.57,0.91779,0.45721,0.80746,0.87342,0.62666,0.72919,0.45364,0.81934,0.43224,0.8093,0.00089141,0.00089141,0.00089141
21,1359.84,0.9213,0.45436,0.81006,0.87129,0.65049,0.74431,0.4742,0.80077,0.42493,0.80747,0.000863116,0.000863116,0.000863116
22,1422.54,0.90992,0.44796,0.80832,0.88127,0.64974,0.74577,0.4768,0.80853,0.42298,0.80733,0.000834822,0.000834822,0.000834822
23,1486.74,0.91122,0.44776,0.80826,0.89406,0.63972,0.73598,0.45898,0.8113,0.43133,0.81031,0.000806528,0.000806528,0.000806528
24,1550.3,0.92059,0.44589,0.80888,0.87974,0.66833,0.75763,0.4702,0.8407,0.44061,0.8086,0.000778233,0.000778233,0.000778233
25,1613.89,0.89919,0.43852,0.80507,0.86429,0.66923,0.74798,0.46851,0.78527,0.41056,0.80609,0.000749939,0.000749939,0.000749939
26,1675.76,0.90586,0.44111,0.80706,0.87643,0.66668,0.75554,0.46363,0.82087,0.42918,0.80752,0.000721645,0.000721645,0.000721645
27,1738.28,0.88943,0.43277,0.80597,0.89702,0.66744,0.76527,0.48321,0.79119,0.41719,0.80574,0.000693351,0.000693351,0.000693351
28,1801.48,0.89226,0.43367,0.80575,0.89915,0.65667,0.75816,0.47844,0.79345,0.41238,0.80718,0.000665057,0.000665057,0.000665057
29,1863.57,0.88869,0.42825,0.80482,0.88438,0.65266,0.76082,0.48158,0.80839,0.41738,0.8075,0.000636762,0.000636762,0.000636762
30,1925.67,0.88249,0.42316,0.80452,0.88818,0.65984,0.75914,0.48737,0.78751,0.40632,0.80503,0.000608468,0.000608468,0.000608468
31,1988.24,0.8808,0.42292,0.80462,0.86744,0.6821,0.76844,0.49651,0.783,0.39655,0.80498,0.000580174,0.000580174,0.000580174
32,2050.44,0.87954,0.41891,0.80377,0.88026,0.684,0.77186,0.485,0.80123,0.41332,0.80453,0.00055188,0.00055188,0.00055188
33,2114.36,0.88213,0.4164,0.80306,0.87435,0.6794,0.7725,0.48446,0.80473,0.41012,0.80535,0.000523586,0.000523586,0.000523586
34,2175.91,0.87647,0.41541,0.80413,0.89594,0.65414,0.77504,0.50297,0.77675,0.39071,0.80428,0.000495291,0.000495291,0.000495291
35,2238.54,0.86293,0.40735,0.80399,0.89063,0.66388,0.77416,0.50103,0.78936,0.39386,0.80477,0.000466997,0.000466997,0.000466997
36,2298.72,0.8635,0.40459,0.80166,0.87223,0.67988,0.77874,0.50301,0.77366,0.39401,0.80355,0.000438703,0.000438703,0.000438703
37,2360.89,0.85681,0.40308,0.803,0.89541,0.67257,0.77799,0.50863,0.76868,0.38691,0.80407,0.000410409,0.000410409,0.000410409
38,2424.35,0.86017,0.40142,0.80266,0.90833,0.66844,0.77804,0.50713,0.76473,0.38586,0.80264,0.000382115,0.000382115,0.000382115
39,2486.34,0.84511,0.39817,0.8011,0.89305,0.66686,0.77404,0.50837,0.7658,0.3868,0.80293,0.00035382,0.00035382,0.00035382
40,2547.01,0.84508,0.3972,0.80155,0.922,0.65883,0.78378,0.51421,0.76151,0.38376,0.80373,0.000325526,0.000325526,0.000325526
41,2613.1,0.84738,0.39557,0.80167,0.89229,0.67299,0.78173,0.51526,0.76324,0.3846,0.80282,0.000297232,0.000297232,0.000297232
42,2675.8,0.84231,0.39055,0.80003,0.89009,0.68161,0.78188,0.50967,0.76,0.37634,0.80238,0.000268938,0.000268938,0.000268938
